Akun,review_text,label
G***g,Kualitas jarak jangkauan atau sinyal pada produk ini buruk. Terbatas atau sering terputus dalam koneksi.,0
G***g,Produk ini tidak memiliki tingkat keamanan yang memadai. Rentan terhadap peretasan atau ancaman keamanan.,0
G***g,Saya mengalami masalah dengan keakuratan pengukuran atau sensor pada produk ini. Tidak akurat atau memberikan hasil yang salah.,0
G***g,Kualitas kemasan produk ini buruk. Tidak kokoh atau tidak melindungi barang dengan baik.,0
G***g,Produk ini tidak memberikan kecepatan atau performa yang diharapkan. Lambat dalam pemrosesan atau respons.,0
G***g,Saya merasa produk ini kurang ramah pengguna. Tidak intuitif atau sulit untuk digunakan tanpa panduan tambahan.,0
G***g,Kualitas sinyal suara atau kualitas panggilan pada produk ini buruk. Tidak jelas atau terdengar terdistorsi.,0
G***g,Produk ini memiliki ukuran atau dimensi yang tidak sesuai dengan kebutuhan atau harapan saya.,0
G***g,Saya mengalami masalah dengan ketahanan produk ini terhadap cuaca ekstrem atau lingkungan yang tidak kondusif.,0
G***g,Kualitas konstruksi atau kekuatan produk ini buruk. Mudah rusak atau tidak tahan lama dalam penggunaan normal.,0
G***g,Produk ini tidak memberikan tingkat kebersihan atau sanitasi yang memadai. Sulit untuk membersihkan atau memiliki kualitas higienis yang rendah.,0
G***g,Saya merasa produk ini tidak memberikan nilai harga yang sebanding. Terlalu mahal dibandingkan dengan kualitas dan fitur yang ditawarkan.,0
G***g,Kualitas desain atau estetika produk ini buruk. Terlihat tidak menarik atau tidak rapi.,0
G***g,Produk ini tidak memberikan fleksibilitas penggunaan. Terbatas dalam fungsionalitas atau kompatibilitas dengan aksesori tambahan.,0
G***g,Saya mengalami masalah dengan ketahanan produk ini terhadap korosi atau karat. Cepat terdegradasi atau berkarat dalam lingkungan yang lembap.,0
G***g,Kualitas bahan atau komponen internal pada produk ini buruk. Mudah rusak atau mengalami kegagalan dalam penggunaan normal.,0
G***g,Produk ini tidak memberikan dukungan atau pembaruan perangkat lunak yang memadai. Tidak ada peningkatan atau pembaruan fitur yang signifikan.,0
G***g,Saya merasa produk ini tidak memiliki daya tahan yang baik terhadap waktu. Tidak bertahan lama dalam penggunaan jangka panjang.,0
G***g,Kualitas konektivitas atau kompatibilitas produk ini buruk. Tidak dapat terhubung atau berinteraksi dengan perangkat lain dengan baik.,0
